temp,humidity,pressure,pop,rain,wind_speed,future_temp,future_pop,timestamp
24.41,86,1010,0,0,1.56,24.15,0.0,2025-05-27 22:00:00
24.41,86,1010,0,0,1.56,24.15,0.0,2025-05-27 22:00:00
24.41,86,1010,0,0,1.56,24.15,0.0,2025-05-27 22:00:00
24.41,86,1010,0,0,1.56,24.15,0.0,2025-05-27 22:00:00
24.41,86,1010,0,0,1.56,24.15,0.0,2025-05-27 22:00:00
24.41,86,1010,0,0,1.56,24.15,0.0,2025-05-27 22:00:00
24.41,86,1010,0,0,1.56,24.15,0.0,2025-05-27 22:00:00
24.41,86,1010,0,0,1.56,24.15,0.0,2025-05-27 22:00:00
24.41,86,1010,0,0,1.56,24.15,0.0,2025-05-27 22:00:00
24.41,86,1010,0,0,1.56,24.15,0.0,2025-05-27 22:00:00
24.41,86,1010,0,0,1.56,24.15,0.0,2025-05-27 22:00:00
24.41,86,1010,0,0,1.56,24.15,0.0,2025-05-27 22:00:00
24.41,86,1010,0,0,1.56,24.15,0.0,2025-05-27 22:00:00
24.41,86,1010,0,0,1.56,24.15,0.0,2025-05-27 22:00:00
24.41,86,1010,0,0,1.56,24.15,0.0,2025-05-27 22:00:00
24.41,86,1010,0,0,1.56,24.15,0.0,2025-05-27 22:00:00
24.41,86,1010,0,0,1.56,24.15,0.0,2025-05-27 22:00:00
24.41,86,1010,0,0,1.56,24.15,0.0,2025-05-27 22:00:00
24.41,86,1010,0,0,1.56,24.15,0.0,2025-05-27 22:00:00
24.41,86,1010,0,0,1.56,24.15,0.0,2025-05-27 22:00:00
24.41,86,1010,0,0,1.56,24.15,0.0,2025-05-27 22:00:00
24.41,86,1010,0,0,1.56,24.15,0.0,2025-05-27 22:00:00
24.41,86,1010,0,0,1.56,24.15,0.0,2025-05-27 22:00:00
24.41,86,1010,0,0,1.56,24.15,0.0,2025-05-27 22:00:00
24.41,86,1010,0,0,1.56,24.15,0.0,2025-05-27 22:00:00
24.41,86,1010,0,0,1.56,24.15,0.0,2025-05-27 22:00:00
24.41,86,1010,0,0,1.56,24.15,0.0,2025-05-27 22:00:00
24.41,86,1010,0,0,1.56,24.15,0.0,2025-05-27 22:00:00
24.41,86,1010,0,0,1.56,24.15,0.0,2025-05-27 22:00:00
24.41,86,1010,0,0,1.56,24.15,0.0,2025-05-27 22:00:00
24.41,86,1010,0,0,1.56,24.15,0.0,2025-05-27 22:00:00
24.41,86,1010,0,0,1.56,24.15,0.0,2025-05-27 22:00:00
24.41,86,1010,0,0,1.56,24.15,0.0,2025-05-27 22:00:00
24.41,86,1010,0,0,1.56,24.15,0.0,2025-05-27 22:00:00
24.41,86,1010,0,0,1.56,24.15,0.0,2025-05-27 22:00:00
24.41,86,1010,0,0,1.56,24.15,0.0,2025-05-27 22:00:00
24.41,86,1010,0,0,1.56,24.15,0.0,2025-05-27 22:00:00
24.41,86,1010,0,0,1.56,24.15,0.0,2025-05-27 22:00:00
24.41,86,1010,0,0,1.56,24.15,0.0,2025-05-27 22:00:00
24.41,86,1010,0,0,1.56,24.15,0.0,2025-05-27 22:00:00
24.41,86,1010,0,0,1.56,24.15,0.0,2025-05-27 22:00:00
24.41,86,1010,0,0,1.56,24.15,0.0,2025-05-27 22:00:00
24.41,86,1010,0,0,1.56,24.15,0.0,2025-05-27 22:00:00
24.41,86,1010,0,0,1.56,24.15,0.0,2025-05-27 22:00:00
24.41,86,1010,0,0,1.56,24.15,0.0,2025-05-27 22:00:00
24.41,86,1010,0,0,1.56,24.15,0.0,2025-05-27 22:00:00
24.41,86,1010,0,0,1.56,24.15,0.0,2025-05-27 22:00:00
24.41,86,1010,0,0,1.56,24.15,0.0,2025-05-27 22:00:00
24.41,86,1010,0,0,1.56,24.15,0.0,2025-05-27 22:00:00
24.41,86,1010,0,0,1.56,24.15,0.0,2025-05-27 22:00:00
24.41,86,1010,0,0,1.56,24.15,0.0,2025-05-27 22:00:00
24.41,86,1010,0,0,1.56,24.15,0.0,2025-05-27 22:00:00
24.41,86,1010,0,0,1.56,24.15,0.0,2025-05-27 22:00:00
24.41,86,1010,0,0,1.56,24.15,0.0,2025-05-27 22:00:00
24.41,86,1010,0,0,1.56,24.15,0.0,2025-05-27 22:00:00
24.41,86,1010,0,0,1.56,24.15,0.0,2025-05-27 22:00:00
24.41,86,1010,0,0,1.56,24.15,0.0,2025-05-27 22:00:00
24.41,86,1010,0,0,1.56,24.15,0.0,2025-05-27 22:00:00
24.41,86,1010,0,0,1.56,24.15,0.0,2025-05-27 22:00:00
24.41,86,1010,0,0,1.56,24.15,0.0,2025-05-27 22:00:00
24.41,86,1010,0,0,1.56,24.15,0.0,2025-05-27 22:00:00
24.41,86,1010,0,0,1.56,24.15,0.0,2025-05-27 22:00:00
24.41,86,1010,0,0,1.56,24.15,0.0,2025-05-27 22:00:00
24.41,86,1010,0,0,1.56,24.15,0.0,2025-05-27 22:00:00
24.41,86,1010,0,0,1.56,24.15,0.0,2025-05-27 22:00:00
24.41,86,1010,0,0,1.56,24.15,0.0,2025-05-27 22:00:00
24.41,86,1010,0,0,1.56,24.15,0.0,2025-05-27 22:00:00
24.41,86,1010,0,0,1.56,24.15,0.0,2025-05-27 22:00:00
24.41,86,1010,0,0,1.56,24.15,0.0,2025-05-27 22:00:00
24.41,86,1010,0,0,1.56,24.15,0.0,2025-05-27 22:00:00
24.41,86,1010,0,0,1.56,24.15,0.0,2025-05-27 22:00:00
24.41,86,1010,0,0,1.56,24.15,0.0,2025-05-27 22:00:00
24.41,86,1010,0,0,1.56,24.15,0.0,2025-05-27 22:00:00
24.41,86,1010,0,0,1.56,24.15,0.0,2025-05-27 22:00:00
24.41,86,1010,0,0,1.56,24.15,0.0,2025-05-27 22:00:00
24.41,86,1010,0,0,1.56,24.15,0.0,2025-05-27 22:00:00
24.41,86,1010,0,0,1.56,24.15,0.0,2025-05-27 22:00:00
24.41,86,1010,0,0,1.56,24.15,0.0,2025-05-27 22:00:00
24.41,86,1010,0,0,1.56,24.15,0.0,2025-05-27 22:00:00
24.41,86,1010,0,0,1.56,24.15,0.0,2025-05-27 22:00:00
24.41,86,1010,0,0,1.56,24.15,0.0,2025-05-27 22:00:00
24.41,86,1010,0,0,1.56,24.15,0.0,2025-05-27 22:00:00
24.41,86,1010,0,0,1.56,24.15,0.0,2025-05-27 22:00:00
24.41,86,1010,0,0,1.56,24.15,0.0,2025-05-27 22:00:00
24.41,86,1010,0,0,1.56,24.15,0.0,2025-05-27 22:00:00
24.41,86,1010,0,0,1.56,24.15,0.0,2025-05-27 22:00:00
24.41,86,1010,0,0,1.56,24.15,0.0,2025-05-27 22:00:00
24.41,86,1010,0,0,1.56,24.15,0.0,2025-05-27 22:00:00
24.41,86,1010,0,0,1.56,24.15,0.0,2025-05-27 22:00:00
24.41,86,1010,0,0,1.56,24.15,0.0,2025-05-27 22:00:00
24.41,86,1010,0,0,1.56,24.15,0.0,2025-05-27 22:00:00
24.41,86,1010,0,0,1.56,24.15,0.0,2025-05-27 22:00:00
24.41,86,1010,0,0,1.56,24.15,0.0,2025-05-27 22:00:00
24.41,86,1010,0,0,1.56,24.15,0.0,2025-05-27 22:00:00
24.41,86,1010,0,0,1.56,24.15,0.0,2025-05-27 22:00:00
24.41,86,1010,0,0,1.56,24.15,0.0,2025-05-27 22:00:00
24.41,86,1010,0,0,1.56,24.15,0.0,2025-05-27 22:00:00
24.41,86,1010,0,0,1.56,24.15,0.0,2025-05-27 22:00:00
24.41,86,1010,0,0,1.56,24.15,0.0,2025-05-27 22:00:00
24.41,86,1010,0,0,1.56,24.15,0.0,2025-05-27 22:00:00
24.41,86,1010,0,0,1.56,24.15,0.0,2025-05-27 22:00:00
24.41,86,1010,0,0,1.56,24.15,0.0,2025-05-27 22:00:00
24.41,86,1010,0,0,1.56,24.15,0.0,2025-05-27 22:00:00
24.41,86,1010,0,0,1.56,24.15,0.0,2025-05-27 22:00:00
24.41,86,1010,0,0,1.56,24.15,0.0,2025-05-27 22:00:00
24.41,86,1010,0,0,1.56,24.15,0.0,2025-05-27 22:00:00
24.41,86,1010,0,0,1.56,24.15,0.0,2025-05-27 22:00:00
24.41,86,1010,0,0,1.56,24.15,0.0,2025-05-27 22:00:00
24.41,86,1010,0,0,1.56,24.15,0.0,2025-05-27 22:00:00
24.41,86,1010,0,0,1.56,24.15,0.0,2025-05-27 22:00:00
24.41,86,1010,0,0,1.56,24.15,0.0,2025-05-27 22:00:00
24.41,86,1010,0,0,1.56,24.15,0.0,2025-05-27 22:00:00
24.41,86,1010,0,0,1.56,24.15,0.0,2025-05-27 22:00:00
24.41,86,1010,0,0,1.56,24.15,0.0,2025-05-27 22:00:00
24.41,86,1010,0,0,1.56,24.15,0.0,2025-05-27 22:00:00
24.41,86,1010,0,0,1.56,24.15,0.0,2025-05-27 22:00:00
24.41,86,1010,0,0,1.56,24.15,0.0,2025-05-27 22:00:00
24.41,86,1010,0,0,1.56,24.15,0.0,2025-05-27 22:00:00
24.41,86,1010,0,0,1.56,24.15,0.0,2025-05-27 22:00:00
24.41,86,1010,0,0,1.56,24.15,0.0,2025-05-27 22:00:00
24.41,86,1010,0,0,1.56,24.15,0.0,2025-05-27 22:00:00
24.41,86,1010,0,0,1.56,24.15,0.0,2025-05-27 22:00:00
24.41,86,1010,0,0,1.56,24.15,0.0,2025-05-27 22:00:00
24.41,86,1010,0,0,1.56,24.15,0.0,2025-05-27 22:00:00
24.41,86,1010,0,0,1.56,24.15,0.0,2025-05-27 22:00:00
24.41,86,1010,0,0,1.56,24.15,0.0,2025-05-27 22:00:00
24.41,86,1010,0,0,1.56,24.15,0.0,2025-05-27 22:00:00
24.41,86,1010,0,0,1.56,24.15,0.0,2025-05-27 22:00:00
24.41,86,1010,0,0,1.56,24.15,0.0,2025-05-27 22:00:00
23.74,86,1010,0,0,1.56,23.59,0.0,2025-05-27 22:00:00
23.74,86,1010,0,0,1.56,23.59,0.0,2025-05-27 22:00:00
23.74,86,1010,0,0,1.56,23.59,0.0,2025-05-27 22:00:00
23.74,86,1010,0,0,1.56,23.59,0.0,2025-05-27 22:00:00
23.74,86,1010,0,0,1.56,23.59,0.0,2025-05-27 22:00:00
23.74,86,1010,0,0,1.56,23.59,0.0,2025-05-27 22:00:00
23.74,86,1010,0,0,1.56,23.59,0.0,2025-05-27 22:00:00
23.74,86,1010,0,0,1.56,23.59,0.0,2025-05-27 22:00:00
23.74,86,1010,0,0,1.56,23.59,0.0,2025-05-27 22:00:00
23.74,86,1010,0,0,1.56,23.59,0.0,2025-05-27 22:00:00
23.74,86,1010,0,0,1.56,23.59,0.0,2025-05-27 22:00:00
23.74,86,1010,0,0,1.56,23.59,0.0,2025-05-27 22:00:00
23.74,86,1010,0,0,1.56,23.59,0.0,2025-05-27 22:00:00
23.74,86,1010,0,0,1.56,23.59,0.0,2025-05-27 22:00:00
23.74,86,1010,0,0,1.56,23.59,0.0,2025-05-27 22:00:00
23.74,86,1010,0,0,1.56,23.59,0.0,2025-05-27 22:00:00
23.74,86,1010,0,0,1.56,23.59,0.0,2025-05-27 22:00:00
23.74,86,1010,0,0,1.56,23.59,0.0,2025-05-27 22:00:00
23.74,86,1010,0,0,1.56,23.59,0.0,2025-05-27 22:00:00
23.74,86,1010,0,0,1.56,23.59,0.0,2025-05-27 22:00:00
23.74,86,1010,0,0,1.56,23.59,0.0,2025-05-27 22:00:00
23.74,86,1010,0,0,1.56,23.59,0.0,2025-05-27 22:00:00
23.74,86,1010,0,0,1.56,23.59,0.0,2025-05-27 22:00:00
23.74,86,1010,0,0,1.56,23.59,0.0,2025-05-27 22:00:00
23.74,86,1010,0,0,1.56,23.59,0.0,2025-05-27 22:00:00
23.74,86,1010,0,0,1.56,23.59,0.0,2025-05-27 22:00:00
23.74,86,1010,0,0,1.56,23.59,0.0,2025-05-27 22:00:00
23.74,86,1010,0,0,1.56,23.59,0.0,2025-05-27 22:00:00
23.74,86,1010,0,0,1.56,23.59,0.0,2025-05-27 22:00:00
23.74,86,1010,0,0,1.56,23.59,0.0,2025-05-27 22:00:00
23.74,86,1010,0,0,1.56,23.59,0.0,2025-05-27 22:00:00
23.74,86,1010,0,0,1.56,23.59,0.0,2025-05-27 22:00:00
23.74,86,1010,0,0,1.56,23.59,0.0,2025-05-27 22:00:00
23.74,86,1010,0,0,1.56,23.59,0.0,2025-05-27 22:00:00
23.74,86,1010,0,0,1.56,23.59,0.0,2025-05-27 22:00:00
23.74,86,1010,0,0,1.56,23.59,0.0,2025-05-27 22:00:00
23.74,86,1010,0,0,1.56,23.59,0.0,2025-05-27 22:00:00
23.74,86,1010,0,0,1.56,23.59,0.0,2025-05-27 22:00:00
23.74,86,1010,0,0,1.56,23.59,0.0,2025-05-27 22:00:00
23.74,86,1010,0,0,1.56,23.59,0.0,2025-05-27 22:00:00
23.74,86,1010,0,0,1.56,23.59,0.0,2025-05-27 22:00:00
23.74,86,1010,0,0,1.56,23.59,0.0,2025-05-27 22:00:00
23.74,86,1010,0,0,1.56,23.59,0.0,2025-05-27 22:00:00
23.74,86,1010,0,0,1.56,23.59,0.0,2025-05-27 22:00:00
23.74,86,1010,0,0,1.56,23.59,0.0,2025-05-27 22:00:00
23.74,86,1010,0,0,1.56,23.59,0.0,2025-05-27 22:00:00
23.74,86,1010,0,0,1.56,23.59,0.0,2025-05-27 22:00:00
23.74,86,1010,0,0,1.56,23.59,0.0,2025-05-27 22:00:00
23.74,86,1010,0,0,1.56,23.59,0.0,2025-05-27 22:00:00
23.74,86,1010,0,0,1.56,23.59,0.0,2025-05-27 22:00:00
23.74,86,1010,0,0,1.56,23.59,0.0,2025-05-27 22:00:00
23.74,86,1010,0,0,1.56,23.59,0.0,2025-05-27 22:00:00
23.74,86,1010,0,0,1.56,23.59,0.0,2025-05-27 22:00:00
23.74,86,1010,0,0,1.56,23.59,0.0,2025-05-27 22:00:00
23.74,86,1010,0,0,1.56,23.59,0.0,2025-05-27 22:00:00
23.74,86,1010,0,0,1.56,23.59,0.0,2025-05-27 22:00:00
23.74,86,1010,0,0,1.56,23.59,0.0,2025-05-27 22:00:00
23.74,86,1010,0,0,1.56,23.59,0.0,2025-05-27 22:00:00
23.74,86,1010,0,0,1.56,23.59,0.0,2025-05-27 22:00:00
23.74,86,1010,0,0,1.56,23.59,0.0,2025-05-27 22:00:00
23.74,86,1010,0,0,1.56,23.59,0.0,2025-05-27 22:00:00
23.74,86,1010,0,0,1.56,23.59,0.0,2025-05-27 22:00:00
23.74,86,1010,0,0,1.56,23.59,0.0,2025-05-27 22:00:00
23.74,86,1010,0,0,1.56,23.59,0.0,2025-05-27 22:00:00
23.74,86,1010,0,0,1.56,23.59,0.0,2025-05-27 22:00:00
23.74,86,1010,0,0,1.56,23.59,0.0,2025-05-27 22:00:00
23.74,86,1010,0,0,1.56,23.59,0.0,2025-05-27 22:00:00
23.74,86,1010,0,0,1.56,23.59,0.0,2025-05-27 22:00:00
23.74,86,1010,0,0,1.56,23.59,0.0,2025-05-27 22:00:00
23.74,86,1010,0,0,1.56,23.59,0.0,2025-05-27 22:00:00
23.74,86,1010,0,0,1.56,23.59,0.0,2025-05-27 22:00:00
